,term,crn,location,day,start,end
0,Fall2015,75222,DSB 112,R,2015-09-03T14:00:00,2015-09-03T15:15:00
1,Fall2015,75222,DSB 112,M,2015-09-07T14:00:00,2015-09-07T15:15:00
2,Fall2015,75222,DSB 112,R,2015-09-10T14:00:00,2015-09-10T15:15:00
3,Fall2015,75222,DSB 112,M,2015-09-14T14:00:00,2015-09-14T15:15:00
4,Fall2015,75222,DSB 112,R,2015-09-17T14:00:00,2015-09-17T15:15:00
5,Fall2015,75222,DSB 112,M,2015-09-21T14:00:00,2015-09-21T15:15:00
6,Fall2015,75222,DSB 112,R,2015-09-24T14:00:00,2015-09-24T15:15:00
7,Fall2015,75222,DSB 112,M,2015-09-28T14:00:00,2015-09-28T15:15:00
8,Fall2015,75222,DSB 112,R,2015-10-01T14:00:00,2015-10-01T15:15:00
9,Fall2015,75222,DSB 112,M,2015-10-05T14:00:00,2015-10-05T15:15:00
10,Fall2015,75222,DSB 112,R,2015-10-08T14:00:00,2015-10-08T15:15:00
11,Fall2015,75222,DSB 112,R,2015-10-15T14:00:00,2015-10-15T15:15:00
12,Fall2015,75222,DSB 112,M,2015-10-19T14:00:00,2015-10-19T15:15:00
13,Fall2015,75222,DSB 112,R,2015-10-22T14:00:00,2015-10-22T15:15:00
14,Fall2015,75222,DSB 112,M,2015-10-26T14:00:00,2015-10-26T15:15:00
15,Fall2015,75222,DSB 112,R,2015-10-29T14:00:00,2015-10-29T15:15:00
16,Fall2015,75222,DSB 112,M,2015-11-02T14:00:00,2015-11-02T15:15:00
17,Fall2015,75222,DSB 112,R,2015-11-05T14:00:00,2015-11-05T15:15:00
18,Fall2015,75222,DSB 112,M,2015-11-09T14:00:00,2015-11-09T15:15:00
19,Fall2015,75222,DSB 112,R,2015-11-12T14:00:00,2015-11-12T15:15:00
20,Fall2015,75222,DSB 112,M,2015-11-16T14:00:00,2015-11-16T15:15:00
21,Fall2015,75222,DSB 112,R,2015-11-19T14:00:00,2015-11-19T15:15:00
22,Fall2015,75222,DSB 112,M,2015-11-23T14:00:00,2015-11-23T15:15:00
23,Fall2015,75222,DSB 112,M,2015-11-30T14:00:00,2015-11-30T15:15:00
24,Fall2015,75222,DSB 112,R,2015-12-03T14:00:00,2015-12-03T15:15:00
25,Fall2015,75222,DSB 112,M,2015-12-07T14:00:00,2015-12-07T15:15:00
26,Fall2015,75240,DSB 112,R,2015-09-03T15:30:00,2015-09-03T16:45:00
27,Fall2015,75240,DSB 112,M,2015-09-07T15:30:00,2015-09-07T16:45:00
28,Fall2015,75240,DSB 112,R,2015-09-10T15:30:00,2015-09-10T16:45:00
29,Fall2015,75240,DSB 112,M,2015-09-14T15:30:00,2015-09-14T16:45:00
30,Fall2015,75240,DSB 112,R,2015-09-17T15:30:00,2015-09-17T16:45:00
31,Fall2015,75240,DSB 112,M,2015-09-21T15:30:00,2015-09-21T16:45:00
32,Fall2015,75240,DSB 112,R,2015-09-24T15:30:00,2015-09-24T16:45:00
33,Fall2015,75240,DSB 112,M,2015-09-28T15:30:00,2015-09-28T16:45:00
34,Fall2015,75240,DSB 112,R,2015-10-01T15:30:00,2015-10-01T16:45:00
35,Fall2015,75240,DSB 112,M,2015-10-05T15:30:00,2015-10-05T16:45:00
36,Fall2015,75240,DSB 112,R,2015-10-08T15:30:00,2015-10-08T16:45:00
37,Fall2015,75240,DSB 112,R,2015-10-15T15:30:00,2015-10-15T16:45:00
38,Fall2015,75240,DSB 112,M,2015-10-19T15:30:00,2015-10-19T16:45:00
39,Fall2015,75240,DSB 112,R,2015-10-22T15:30:00,2015-10-22T16:45:00
40,Fall2015,75240,DSB 112,M,2015-10-26T15:30:00,2015-10-26T16:45:00
41,Fall2015,75240,DSB 112,R,2015-10-29T15:30:00,2015-10-29T16:45:00
42,Fall2015,75240,DSB 112,M,2015-11-02T15:30:00,2015-11-02T16:45:00
43,Fall2015,75240,DSB 112,R,2015-11-05T15:30:00,2015-11-05T16:45:00
44,Fall2015,75240,DSB 112,M,2015-11-09T15:30:00,2015-11-09T16:45:00
45,Fall2015,75240,DSB 112,R,2015-11-12T15:30:00,2015-11-12T16:45:00
46,Fall2015,75240,DSB 112,M,2015-11-16T15:30:00,2015-11-16T16:45:00
47,Fall2015,75240,DSB 112,R,2015-11-19T15:30:00,2015-11-19T16:45:00
48,Fall2015,75240,DSB 112,M,2015-11-23T15:30:00,2015-11-23T16:45:00
49,Fall2015,75240,DSB 112,M,2015-11-30T15:30:00,2015-11-30T16:45:00
50,Fall2015,75240,DSB 112,R,2015-12-03T15:30:00,2015-12-03T16:45:00
51,Fall2015,75240,DSB 112,M,2015-12-07T15:30:00,2015-12-07T16:45:00
52,Fall2015,75241,DSB 115,T,2015-09-01T14:00:00,2015-09-01T15:15:00
53,Fall2015,75241,DSB 115,F,2015-09-04T14:00:00,2015-09-04T15:15:00
54,Fall2015,75241,DSB 115,T,2015-09-08T14:00:00,2015-09-08T15:15:00
55,Fall2015,75241,DSB 115,F,2015-09-11T14:00:00,2015-09-11T15:15:00
56,Fall2015,75241,DSB 115,T,2015-09-15T14:00:00,2015-09-15T15:15:00
57,Fall2015,75241,DSB 115,F,2015-09-18T14:00:00,2015-09-18T15:15:00
58,Fall2015,75241,DSB 115,T,2015-09-22T14:00:00,2015-09-22T15:15:00
59,Fall2015,75241,DSB 115,F,2015-09-25T14:00:00,2015-09-25T15:15:00
60,Fall2015,75241,DSB 115,T,2015-09-29T14:00:00,2015-09-29T15:15:00
61,Fall2015,75241,DSB 115,F,2015-10-02T14:00:00,2015-10-02T15:15:00
62,Fall2015,75241,DSB 115,T,2015-10-06T14:00:00,2015-10-06T15:15:00
63,Fall2015,75241,DSB 115,F,2015-10-09T14:00:00,2015-10-09T15:15:00
64,Fall2015,75241,DSB 115,F,2015-10-16T14:00:00,2015-10-16T15:15:00
65,Fall2015,75241,DSB 115,T,2015-10-20T14:00:00,2015-10-20T15:15:00
66,Fall2015,75241,DSB 115,F,2015-10-23T14:00:00,2015-10-23T15:15:00
67,Fall2015,75241,DSB 115,T,2015-10-27T14:00:00,2015-10-27T15:15:00
68,Fall2015,75241,DSB 115,F,2015-10-30T14:00:00,2015-10-30T15:15:00
69,Fall2015,75241,DSB 115,T,2015-11-03T14:00:00,2015-11-03T15:15:00
70,Fall2015,75241,DSB 115,F,2015-11-06T14:00:00,2015-11-06T15:15:00
71,Fall2015,75241,DSB 115,T,2015-11-10T14:00:00,2015-11-10T15:15:00
72,Fall2015,75241,DSB 115,F,2015-11-13T14:00:00,2015-11-13T15:15:00
73,Fall2015,75241,DSB 115,T,2015-11-17T14:00:00,2015-11-17T15:15:00
74,Fall2015,75241,DSB 115,F,2015-11-20T14:00:00,2015-11-20T15:15:00
75,Fall2015,75241,DSB 115,T,2015-11-24T14:00:00,2015-11-24T15:15:00
76,Fall2015,75241,DSB 115,T,2015-12-01T14:00:00,2015-12-01T15:15:00
77,Fall2015,75241,DSB 115,F,2015-12-04T14:00:00,2015-12-04T15:15:00
78,Fall2015,75243,DSB 111,T,2015-09-01T08:00:00,2015-09-01T09:15:00
79,Fall2015,75243,DSB 111,F,2015-09-04T08:00:00,2015-09-04T09:15:00
80,Fall2015,75243,DSB 111,T,2015-09-08T08:00:00,2015-09-08T09:15:00
81,Fall2015,75243,DSB 111,F,2015-09-11T08:00:00,2015-09-11T09:15:00
