,term,crn,location,day,start,end
0,Winter2015,10913,DSB 115,M,2015-01-05T10:00:00,2015-01-05T18:00:00
1,Winter2015,10913,DSB 115,T,2015-01-06T10:00:00,2015-01-06T18:00:00
2,Winter2015,10913,DSB 115,W,2015-01-07T10:00:00,2015-01-07T18:00:00
3,Winter2015,10913,DSB 115,R,2015-01-08T10:00:00,2015-01-08T18:00:00
4,Winter2015,10913,DSB 115,F,2015-01-09T10:00:00,2015-01-09T18:00:00
5,Winter2015,10913,DSB 115,M,2015-01-12T10:00:00,2015-01-12T18:00:00
6,Winter2015,10913,DSB 115,T,2015-01-13T10:00:00,2015-01-13T18:00:00
7,Winter2015,10913,DSB 115,W,2015-01-14T10:00:00,2015-01-14T18:00:00
8,Winter2015,10913,DSB 115,R,2015-01-15T10:00:00,2015-01-15T18:00:00
9,Winter2015,10913,DSB 115,F,2015-01-16T10:00:00,2015-01-16T18:00:00
10,Winter2015,10913,DSB 115,M,2015-01-05T08:30:00,2015-01-05T16:30:00
11,Winter2015,10913,DSB 115,T,2015-01-06T08:30:00,2015-01-06T16:30:00
12,Winter2015,10913,DSB 115,W,2015-01-07T08:30:00,2015-01-07T16:30:00
13,Winter2015,10913,DSB 115,R,2015-01-08T08:30:00,2015-01-08T16:30:00
14,Winter2015,10913,DSB 115,F,2015-01-09T08:30:00,2015-01-09T16:30:00
15,Winter2015,10913,DSB 115,M,2015-01-12T08:30:00,2015-01-12T16:30:00
16,Winter2015,10913,DSB 115,T,2015-01-13T08:30:00,2015-01-13T16:30:00
17,Winter2015,10913,DSB 115,W,2015-01-14T08:30:00,2015-01-14T16:30:00
18,Winter2015,10913,DSB 115,R,2015-01-15T08:30:00,2015-01-15T16:30:00
19,Winter2015,10913,DSB 115,F,2015-01-16T08:30:00,2015-01-16T16:30:00
20,Winter2015,10913,DSB 115,S,2015-01-10T08:30:00,2015-01-10T16:30:00
21,Winter2015,10913,DSB 115,S,2015-01-17T08:30:00,2015-01-17T16:30:00
22,Winter2015,10911,DSB 109,M,2015-01-05T08:30:00,2015-01-05T16:30:00
23,Winter2015,10911,DSB 109,T,2015-01-06T08:30:00,2015-01-06T16:30:00
24,Winter2015,10911,DSB 109,W,2015-01-07T08:30:00,2015-01-07T16:30:00
25,Winter2015,10911,DSB 109,R,2015-01-08T08:30:00,2015-01-08T16:30:00
26,Winter2015,10911,DSB 109,F,2015-01-09T08:30:00,2015-01-09T16:30:00
27,Winter2015,10896,DMH 347,M,2015-01-05T08:30:00,2015-01-05T16:30:00
28,Winter2015,10896,DMH 347,T,2015-01-06T08:30:00,2015-01-06T16:30:00
29,Winter2015,10896,DMH 347,W,2015-01-07T08:30:00,2015-01-07T16:30:00
30,Winter2015,10896,DMH 347,R,2015-01-08T08:30:00,2015-01-08T16:30:00
31,Winter2015,10896,DMH 347,F,2015-01-09T08:30:00,2015-01-09T16:30:00
32,Winter2015,10912,DSB 107,M,2015-01-05T18:00:00,2015-01-05T21:30:00
33,Winter2015,10912,DSB 107,T,2015-01-06T18:00:00,2015-01-06T21:30:00
34,Winter2015,10912,DSB 107,W,2015-01-07T18:00:00,2015-01-07T21:30:00
35,Winter2015,10912,DSB 107,R,2015-01-08T18:00:00,2015-01-08T21:30:00
36,Winter2015,10912,DSB 107,M,2015-01-12T18:00:00,2015-01-12T21:30:00
37,Winter2015,10912,DSB 107,T,2015-01-13T18:00:00,2015-01-13T21:30:00
38,Winter2015,10912,DSB 107,W,2015-01-14T18:00:00,2015-01-14T21:30:00
39,Winter2015,10912,DSB 107,R,2015-01-15T18:00:00,2015-01-15T21:30:00
40,Winter2015,10912,DSB 107,M,2015-01-05T08:30:00,2015-01-05T16:30:00
41,Winter2015,10912,DSB 107,T,2015-01-06T08:30:00,2015-01-06T16:30:00
42,Winter2015,10912,DSB 107,W,2015-01-07T08:30:00,2015-01-07T16:30:00
43,Winter2015,10912,DSB 107,R,2015-01-08T08:30:00,2015-01-08T16:30:00
44,Winter2015,10912,DSB 107,M,2015-01-12T08:30:00,2015-01-12T16:30:00
45,Winter2015,10912,DSB 107,T,2015-01-13T08:30:00,2015-01-13T16:30:00
46,Winter2015,10912,DSB 107,W,2015-01-14T08:30:00,2015-01-14T16:30:00
47,Winter2015,10912,DSB 107,R,2015-01-15T08:30:00,2015-01-15T16:30:00
