,term,crn,location,day,start,end
0,Spring2015,32436,DSB 108,R,2015-01-22T14:00:00,2015-01-22T15:15:00
1,Spring2015,32436,DSB 108,M,2015-01-26T14:00:00,2015-01-26T15:15:00
2,Spring2015,32436,DSB 108,R,2015-01-29T14:00:00,2015-01-29T15:15:00
3,Spring2015,32436,DSB 108,M,2015-02-02T14:00:00,2015-02-02T15:15:00
4,Spring2015,32436,DSB 108,R,2015-02-05T14:00:00,2015-02-05T15:15:00
5,Spring2015,32436,DSB 108,M,2015-02-09T14:00:00,2015-02-09T15:15:00
6,Spring2015,32436,DSB 108,R,2015-02-12T14:00:00,2015-02-12T15:15:00
7,Spring2015,32436,DSB 108,R,2015-02-19T14:00:00,2015-02-19T15:15:00
8,Spring2015,32436,DSB 108,M,2015-02-23T14:00:00,2015-02-23T15:15:00
9,Spring2015,32436,DSB 108,R,2015-02-26T14:00:00,2015-02-26T15:15:00
10,Spring2015,32436,DSB 108,M,2015-03-02T14:00:00,2015-03-02T15:15:00
11,Spring2015,32436,DSB 108,R,2015-03-05T14:00:00,2015-03-05T15:15:00
12,Spring2015,32436,DSB 108,M,2015-03-16T14:00:00,2015-03-16T15:15:00
13,Spring2015,32436,DSB 108,R,2015-03-19T14:00:00,2015-03-19T15:15:00
14,Spring2015,32436,DSB 108,M,2015-03-23T14:00:00,2015-03-23T15:15:00
15,Spring2015,32436,DSB 108,R,2015-03-26T14:00:00,2015-03-26T15:15:00
16,Spring2015,32436,DSB 108,M,2015-03-30T14:00:00,2015-03-30T15:15:00
17,Spring2015,32436,DSB 108,R,2015-04-02T14:00:00,2015-04-02T15:15:00
18,Spring2015,32436,DSB 108,M,2015-04-06T14:00:00,2015-04-06T15:15:00
19,Spring2015,32436,DSB 108,R,2015-04-09T14:00:00,2015-04-09T15:15:00
20,Spring2015,32436,DSB 108,M,2015-04-13T14:00:00,2015-04-13T15:15:00
21,Spring2015,32436,DSB 108,R,2015-04-16T14:00:00,2015-04-16T15:15:00
