,crn,location,day,start,end
0,34390,DSB 111,R,2018-01-18T12:30:00,2018-01-18T13:45:00
1,34390,DSB 111,M,2018-01-22T12:30:00,2018-01-22T13:45:00
2,34390,DSB 111,R,2018-01-25T12:30:00,2018-01-25T13:45:00
3,34390,DSB 111,M,2018-01-29T12:30:00,2018-01-29T13:45:00
4,34390,DSB 111,R,2018-02-01T12:30:00,2018-02-01T13:45:00
5,34390,DSB 111,M,2018-02-05T12:30:00,2018-02-05T13:45:00
6,34390,DSB 111,R,2018-02-08T12:30:00,2018-02-08T13:45:00
7,34390,DSB 111,M,2018-02-12T12:30:00,2018-02-12T13:45:00
8,34390,DSB 111,R,2018-02-15T12:30:00,2018-02-15T13:45:00
9,34390,DSB 111,R,2018-02-22T12:30:00,2018-02-22T13:45:00
10,34390,DSB 111,M,2018-02-26T12:30:00,2018-02-26T13:45:00
11,34390,DSB 111,R,2018-03-01T12:30:00,2018-03-01T13:45:00
12,34390,DSB 111,M,2018-03-05T12:30:00,2018-03-05T13:45:00
13,34390,DSB 111,R,2018-03-08T12:30:00,2018-03-08T13:45:00
14,34390,DSB 111,M,2018-03-19T12:30:00,2018-03-19T13:45:00
15,34390,DSB 111,R,2018-03-22T12:30:00,2018-03-22T13:45:00
16,34390,DSB 111,M,2018-03-26T12:30:00,2018-03-26T13:45:00
17,34390,DSB 111,R,2018-03-29T12:30:00,2018-03-29T13:45:00
18,34390,DSB 111,R,2018-04-05T12:30:00,2018-04-05T13:45:00
19,34390,DSB 111,M,2018-04-09T12:30:00,2018-04-09T13:45:00
20,34390,DSB 111,R,2018-04-12T12:30:00,2018-04-12T13:45:00
21,34390,DSB 111,M,2018-04-16T12:30:00,2018-04-16T13:45:00
22,34390,DSB 111,R,2018-04-19T12:30:00,2018-04-19T13:45:00
23,34390,DSB 111,M,2018-04-23T12:30:00,2018-04-23T13:45:00
24,34390,DSB 111,R,2018-04-26T12:30:00,2018-04-26T13:45:00
25,34390,DSB 111,M,2018-04-30T12:30:00,2018-04-30T13:45:00
26,34390,DSB 111,T,2018-02-20T12:30:00,2018-02-20T13:45:00
27,34815,DSB 115,R,2018-01-18T09:30:00,2018-01-18T10:45:00
28,34815,DSB 115,M,2018-01-22T09:30:00,2018-01-22T10:45:00
29,34815,DSB 115,R,2018-01-25T09:30:00,2018-01-25T10:45:00
30,34815,DSB 115,M,2018-01-29T09:30:00,2018-01-29T10:45:00
31,34815,DSB 115,R,2018-02-01T09:30:00,2018-02-01T10:45:00
32,34815,DSB 115,M,2018-02-05T09:30:00,2018-02-05T10:45:00
33,34815,DSB 115,R,2018-02-08T09:30:00,2018-02-08T10:45:00
34,34815,DSB 115,M,2018-02-12T09:30:00,2018-02-12T10:45:00
35,34815,DSB 115,R,2018-02-15T09:30:00,2018-02-15T10:45:00
36,34815,DSB 115,R,2018-02-22T09:30:00,2018-02-22T10:45:00
37,34815,DSB 115,M,2018-02-26T09:30:00,2018-02-26T10:45:00
38,34815,DSB 115,R,2018-03-01T09:30:00,2018-03-01T10:45:00
39,34815,DSB 115,M,2018-03-05T09:30:00,2018-03-05T10:45:00
40,34815,DSB 115,R,2018-03-08T09:30:00,2018-03-08T10:45:00
41,34815,DSB 115,M,2018-03-19T09:30:00,2018-03-19T10:45:00
42,34815,DSB 115,R,2018-03-22T09:30:00,2018-03-22T10:45:00
