,crn,location,day,start,end
0,58111,DSB 112,M,2018-05-21T18:00:00,2018-05-21T21:30:00
1,58111,DSB 112,W,2018-05-23T18:00:00,2018-05-23T21:30:00
2,58111,DSB 112,W,2018-05-30T18:00:00,2018-05-30T21:30:00
3,58111,DSB 112,M,2018-06-04T18:00:00,2018-06-04T21:30:00
4,58111,DSB 112,W,2018-06-06T18:00:00,2018-06-06T21:30:00
5,58111,DSB 112,M,2018-06-11T18:00:00,2018-06-11T21:30:00
6,58111,DSB 112,W,2018-06-13T18:00:00,2018-06-13T21:30:00
7,58111,DSB 112,M,2018-06-18T18:00:00,2018-06-18T21:30:00
8,58111,DSB 112,W,2018-06-20T18:00:00,2018-06-20T21:30:00
9,58111,DSB 112,M,2018-06-25T18:00:00,2018-06-25T21:30:00
10,58111,DSB 112,W,2018-06-27T18:00:00,2018-06-27T21:30:00
11,58111,DSB 106,M,2018-05-21T18:00:00,2018-05-21T21:30:00
12,58111,DSB 106,W,2018-05-23T18:00:00,2018-05-23T21:30:00
13,58111,DSB 106,W,2018-05-30T18:00:00,2018-05-30T21:30:00
14,58111,DSB 106,M,2018-06-04T18:00:00,2018-06-04T21:30:00
15,58111,DSB 106,W,2018-06-06T18:00:00,2018-06-06T21:30:00
16,58111,DSB 106,M,2018-06-11T18:00:00,2018-06-11T21:30:00
17,58111,DSB 106,W,2018-06-13T18:00:00,2018-06-13T21:30:00
18,58111,DSB 106,M,2018-06-18T18:00:00,2018-06-18T21:30:00
19,58111,DSB 106,W,2018-06-20T18:00:00,2018-06-20T21:30:00
20,58111,DSB 106,M,2018-06-25T18:00:00,2018-06-25T21:30:00
21,58111,DSB 106,W,2018-06-27T18:00:00,2018-06-27T21:30:00
22,58111,DSB 106,R,2018-05-31T18:00:00,2018-05-31T21:30:00
23,58112,DSB 111,M,2018-07-09T18:00:00,2018-07-09T21:30:00
24,58112,DSB 111,W,2018-07-11T18:00:00,2018-07-11T21:30:00
25,58112,DSB 111,M,2018-07-16T18:00:00,2018-07-16T21:30:00
26,58112,DSB 111,W,2018-07-18T18:00:00,2018-07-18T21:30:00
27,58112,DSB 111,M,2018-07-23T18:00:00,2018-07-23T21:30:00
28,58112,DSB 111,W,2018-07-25T18:00:00,2018-07-25T21:30:00
29,58112,DSB 111,M,2018-07-30T18:00:00,2018-07-30T21:30:00
30,58112,DSB 111,W,2018-08-01T18:00:00,2018-08-01T21:30:00
31,58112,DSB 111,M,2018-08-06T18:00:00,2018-08-06T21:30:00
32,58112,DSB 111,W,2018-08-08T18:00:00,2018-08-08T21:30:00
33,58112,DSB 111,M,2018-08-13T18:00:00,2018-08-13T21:30:00
34,58201,DSB 104,M,2018-05-21T18:00:00,2018-05-21T21:30:00
35,58201,DSB 104,W,2018-05-23T18:00:00,2018-05-23T21:30:00
36,58201,DSB 104,W,2018-05-30T18:00:00,2018-05-30T21:30:00
37,58201,DSB 104,M,2018-06-04T18:00:00,2018-06-04T21:30:00
38,58201,DSB 104,W,2018-06-06T18:00:00,2018-06-06T21:30:00
39,58201,DSB 104,M,2018-06-11T18:00:00,2018-06-11T21:30:00
40,58201,DSB 104,W,2018-06-13T18:00:00,2018-06-13T21:30:00
41,58201,DSB 104,M,2018-06-18T18:00:00,2018-06-18T21:30:00
42,58201,DSB 106,M,2018-05-21T08:30:00,2018-05-21T16:30:00
43,58201,DSB 106,W,2018-05-23T08:30:00,2018-05-23T16:30:00
44,58201,DSB 106,W,2018-05-30T08:30:00,2018-05-30T16:30:00
45,58201,DSB 106,M,2018-06-04T08:30:00,2018-06-04T16:30:00
46,58201,DSB 106,W,2018-06-06T08:30:00,2018-06-06T16:30:00
47,58201,DSB 106,M,2018-06-11T08:30:00,2018-06-11T16:30:00
48,58201,DSB 106,W,2018-06-13T08:30:00,2018-06-13T16:30:00
49,58201,DSB 106,M,2018-06-18T08:30:00,2018-06-18T16:30:00
50,58201,DSB 106,S,2018-06-09T08:30:00,2018-06-09T16:30:00
51,58201,DSB 106,S,2018-06-16T08:30:00,2018-06-16T16:30:00
52,58124,DSB 110A,W,2018-05-23T18:00:00,2018-05-23T21:30:00
53,58124,DSB 110A,W,2018-05-30T18:00:00,2018-05-30T21:30:00
54,58124,DSB 110A,W,2018-06-06T18:00:00,2018-06-06T21:30:00
55,58124,DSB 110A,W,2018-06-13T18:00:00,2018-06-13T21:30:00
56,58124,DSB 110A,W,2018-06-20T18:00:00,2018-06-20T21:30:00
57,58124,DSB 110A,W,2018-06-27T18:00:00,2018-06-27T21:30:00
58,58124,DSB 109,W,2018-05-23T09:00:00,2018-05-23T12:30:00
59,58124,DSB 109,W,2018-05-30T09:00:00,2018-05-30T12:30:00
60,58124,DSB 109,W,2018-06-06T09:00:00,2018-06-06T12:30:00
61,58124,DSB 109,W,2018-06-13T09:00:00,2018-06-13T12:30:00
62,58124,DSB 109,W,2018-06-20T09:00:00,2018-06-20T12:30:00
63,58124,DSB 109,W,2018-06-27T09:00:00,2018-06-27T12:30:00
64,58124,DSB 109,S,2018-05-26T09:00:00,2018-05-26T12:30:00
