,crn,location,day,start,end
0,11701,DSB 109,W,2017-01-04T08:30:00,2017-01-04T16:30:00
1,11701,DSB 109,R,2017-01-05T08:30:00,2017-01-05T16:30:00
2,11701,DSB 109,F,2017-01-06T08:30:00,2017-01-06T16:30:00
3,11701,DSB 109,M,2017-01-09T08:30:00,2017-01-09T16:30:00
4,11701,DSB 109,T,2017-01-10T08:30:00,2017-01-10T16:30:00
5,11709,DMH 350,W,2017-01-04T08:30:00,2017-01-04T16:30:00
6,11709,DMH 350,R,2017-01-05T08:30:00,2017-01-05T16:30:00
7,11709,DMH 350,F,2017-01-06T08:30:00,2017-01-06T16:30:00
8,11709,DMH 350,M,2017-01-09T08:30:00,2017-01-09T16:30:00
9,11709,DMH 350,T,2017-01-10T08:30:00,2017-01-10T16:30:00
10,11703,DSB 114,F,2017-01-06T18:00:00,2017-01-06T22:00:00
11,11703,DSB 114,M,2017-01-09T18:00:00,2017-01-09T22:00:00
12,11703,DSB 114,T,2017-01-10T18:00:00,2017-01-10T22:00:00
13,11703,DSB 114,W,2017-01-11T18:00:00,2017-01-11T22:00:00
14,11703,DSB 114,R,2017-01-12T18:00:00,2017-01-12T22:00:00
15,11703,DSB 114,F,2017-01-13T18:00:00,2017-01-13T22:00:00
16,11703,DSB 114,F,2017-01-06T08:30:00,2017-01-06T16:30:00
17,11703,DSB 114,M,2017-01-09T08:30:00,2017-01-09T16:30:00
18,11703,DSB 114,T,2017-01-10T08:30:00,2017-01-10T16:30:00
19,11703,DSB 114,W,2017-01-11T08:30:00,2017-01-11T16:30:00
20,11703,DSB 114,R,2017-01-12T08:30:00,2017-01-12T16:30:00
21,11703,DSB 114,F,2017-01-13T08:30:00,2017-01-13T16:30:00
22,11703,DSB 114,S,2017-01-07T08:30:00,2017-01-07T16:30:00
23,11703,DSB 114,S,2017-01-14T08:30:00,2017-01-14T16:30:00
24,11702,DSB 115,M,2017-01-02T18:00:00,2017-01-02T21:30:00
25,11702,DSB 115,T,2017-01-03T18:00:00,2017-01-03T21:30:00
26,11702,DSB 115,W,2017-01-04T18:00:00,2017-01-04T21:30:00
27,11702,DSB 115,R,2017-01-05T18:00:00,2017-01-05T21:30:00
28,11702,DSB 115,M,2017-01-09T18:00:00,2017-01-09T21:30:00
29,11702,DSB 115,T,2017-01-10T18:00:00,2017-01-10T21:30:00
30,11702,DSB 115,W,2017-01-11T18:00:00,2017-01-11T21:30:00
31,11702,DSB 115,R,2017-01-12T18:00:00,2017-01-12T21:30:00
32,11702,DSB 115,M,2017-01-02T08:30:00,2017-01-02T16:30:00
33,11702,DSB 115,T,2017-01-03T08:30:00,2017-01-03T16:30:00
34,11702,DSB 115,W,2017-01-04T08:30:00,2017-01-04T16:30:00
35,11702,DSB 115,R,2017-01-05T08:30:00,2017-01-05T16:30:00
36,11702,DSB 115,M,2017-01-09T08:30:00,2017-01-09T16:30:00
37,11702,DSB 115,T,2017-01-10T08:30:00,2017-01-10T16:30:00
38,11702,DSB 115,W,2017-01-11T08:30:00,2017-01-11T16:30:00
39,11702,DSB 115,R,2017-01-12T08:30:00,2017-01-12T16:30:00
40,11702,DSB 115,S,2017-01-07T08:30:00,2017-01-07T16:30:00
41,11702,DSB 115,S,2017-01-14T08:30:00,2017-01-14T16:30:00
42,11713,JGS 25,W,2017-01-04T08:30:00,2017-01-04T16:30:00
43,11713,JGS 25,R,2017-01-05T08:30:00,2017-01-05T16:30:00
44,11713,JGS 25,F,2017-01-06T08:30:00,2017-01-06T16:30:00
45,11713,JGS 25,M,2017-01-09T08:30:00,2017-01-09T16:30:00
46,11713,JGS 25,T,2017-01-10T08:30:00,2017-01-10T16:30:00
