,crn,location,day,start,end
0,71188,DSB 110A,R,2017-09-07T11:00:00,2017-09-07T12:15:00
1,71188,DSB 110A,M,2017-09-11T11:00:00,2017-09-11T12:15:00
2,71188,DSB 110A,R,2017-09-14T11:00:00,2017-09-14T12:15:00
3,71188,DSB 110A,M,2017-09-18T11:00:00,2017-09-18T12:15:00
4,71188,DSB 110A,R,2017-09-21T11:00:00,2017-09-21T12:15:00
5,71188,DSB 110A,M,2017-09-25T11:00:00,2017-09-25T12:15:00
6,71188,DSB 110A,R,2017-09-28T11:00:00,2017-09-28T12:15:00
7,71188,DSB 110A,M,2017-10-02T11:00:00,2017-10-02T12:15:00
8,71188,DSB 110A,R,2017-10-05T11:00:00,2017-10-05T12:15:00
9,71188,DSB 110A,R,2017-10-12T11:00:00,2017-10-12T12:15:00
10,71188,DSB 110A,M,2017-10-16T11:00:00,2017-10-16T12:15:00
11,71188,DSB 110A,R,2017-10-19T11:00:00,2017-10-19T12:15:00
12,71188,DSB 110A,M,2017-10-23T11:00:00,2017-10-23T12:15:00
13,71188,DSB 110A,R,2017-10-26T11:00:00,2017-10-26T12:15:00
14,71188,DSB 110A,M,2017-10-30T11:00:00,2017-10-30T12:15:00
15,71188,DSB 110A,R,2017-11-02T11:00:00,2017-11-02T12:15:00
16,71188,DSB 110A,M,2017-11-06T11:00:00,2017-11-06T12:15:00
17,71188,DSB 110A,R,2017-11-09T11:00:00,2017-11-09T12:15:00
18,71188,DSB 110A,M,2017-11-13T11:00:00,2017-11-13T12:15:00
19,71188,DSB 110A,R,2017-11-16T11:00:00,2017-11-16T12:15:00
20,71188,DSB 110A,M,2017-11-20T11:00:00,2017-11-20T12:15:00
21,71188,DSB 110A,M,2017-11-27T11:00:00,2017-11-27T12:15:00
22,71188,DSB 110A,R,2017-11-30T11:00:00,2017-11-30T12:15:00
23,71188,DSB 110A,M,2017-12-04T11:00:00,2017-12-04T12:15:00
24,71188,DSB 110A,R,2017-12-07T11:00:00,2017-12-07T12:15:00
25,71188,DSB 110A,M,2017-12-11T11:00:00,2017-12-11T12:15:00
26,71205,DSB 110A,R,2017-09-07T12:30:00,2017-09-07T13:45:00
27,71205,DSB 110A,M,2017-09-11T12:30:00,2017-09-11T13:45:00
28,71205,DSB 110A,R,2017-09-14T12:30:00,2017-09-14T13:45:00
29,71205,DSB 110A,M,2017-09-18T12:30:00,2017-09-18T13:45:00
30,71205,DSB 110A,R,2017-09-21T12:30:00,2017-09-21T13:45:00
31,71205,DSB 110A,M,2017-09-25T12:30:00,2017-09-25T13:45:00
32,71205,DSB 110A,R,2017-09-28T12:30:00,2017-09-28T13:45:00
33,71205,DSB 110A,M,2017-10-02T12:30:00,2017-10-02T13:45:00
34,71205,DSB 110A,R,2017-10-05T12:30:00,2017-10-05T13:45:00
35,71205,DSB 110A,R,2017-10-12T12:30:00,2017-10-12T13:45:00
36,71205,DSB 110A,M,2017-10-16T12:30:00,2017-10-16T13:45:00
37,71205,DSB 110A,R,2017-10-19T12:30:00,2017-10-19T13:45:00
38,71205,DSB 110A,M,2017-10-23T12:30:00,2017-10-23T13:45:00
39,71205,DSB 110A,R,2017-10-26T12:30:00,2017-10-26T13:45:00
