,term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
0,Fall2017,71188,AC 0011,01C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/05-12/11', 'location': 'DSB 110A'}]",['MR 1100am-1215pm 09/05-12/11 DSB 110A'],Rebecca I.  Bloch,0,28,-28
1,Fall2017,71205,AC 0011,02C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'DSB 110A'}]",['MR 1230pm-0145pm 09/05-12/11 DSB 110A'],Rebecca I.  Bloch,0,29,-29
2,Fall2017,71206,AC 0011,03C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/05-12/11', 'location': 'DSB 104'}]",['MR 0800am-0915am 09/05-12/11 DSB 104'],Gregory Patrick  Burke,0,26,-26
3,Fall2017,71207,AC 0011,04C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/05-12/11', 'location': 'DSB 104'}]",['MR 0930am-1045am 09/05-12/11 DSB 104'],Gregory Patrick  Burke,0,30,-30
4,Fall2017,71208,AC 0011,05C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/05-12/11', 'location': 'DSB 104'}]",['MR 0200pm-0315pm 09/05-12/11 DSB 104'],Gregory Patrick  Burke,0,31,-31
5,Fall2017,71209,AC 0011,06C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/05-12/11', 'location': 'DSB 104'}]",['MR 0330pm-0445pm 09/05-12/11 DSB 104'],Gregory Patrick  Burke,0,29,-29
6,Fall2017,71371,AC 0011,07,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/05-12/11', 'location': 'DSB 105'}]",['TF 0330pm-0445pm 09/05-12/11 DSB 105'],Michael P.  Coyne,30,30,0
7,Fall2017,71384,AC 0011,08,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/05-12/11', 'location': 'DSB 110B'}]",['TF 0930am-1045am 09/05-12/11 DSB 110B'],Jo Ann   Drusbosky,30,30,0
8,Fall2017,71572,AC 0011,09,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'DSB 110B'}]",['TF 1230pm-0145pm 09/05-12/11 DSB 110B'],Jo Ann   Drusbosky,30,29,1
9,Fall2017,71804,AC 0011,10,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/05-12/11', 'location': 'DSB 110B'}]",['TF 0200pm-0315pm 09/05-12/11 DSB 110B'],Jo Ann   Drusbosky,30,29,1
10,Fall2017,71805,AC 0011,11,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/05-12/11', 'location': 'DSB 110A'}]",['MR 0800am-0915am 09/05-12/11 DSB 110A'],Kara E.  Hunter,30,27,3
11,Fall2017,72052,AC 0011,12,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/05-12/11', 'location': 'DSB 110B'}]",['MR 1100am-1215pm 09/05-12/11 DSB 110B'],Kara E.  Hunter,30,26,4
12,Fall2017,72053,AC 0011,13,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'DSB 110B'}]",['MR 1230pm-0145pm 09/05-12/11 DSB 110B'],Kara E.  Hunter,30,28,2
13,Fall2017,72054,AC 0011,14,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/05-12/11', 'location': 'DSB 110B'}]",['TF 1100am-1215pm 09/05-12/11 DSB 110B'],Arleen N.  Kardos,30,30,0
14,Fall2017,72288,AC 0011,15,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'DSB 115'}]",['TF 1230pm-0145pm 09/05-12/11 DSB 115'],Arleen N.  Kardos,30,30,0
15,Fall2017,71159,AC 0012,01,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'DSB 109'}]",['TF 1230pm-0145pm 09/05-12/11 DSB 109'],Bruce   Bradford,24,21,3
