,crn,location,day,start,end
0,31425,DSB 106,T,2017-01-17T11:00:00,2017-01-17T12:15:00
1,31425,DSB 106,F,2017-01-20T11:00:00,2017-01-20T12:15:00
2,31425,DSB 106,T,2017-01-24T11:00:00,2017-01-24T12:15:00
3,31425,DSB 106,F,2017-01-27T11:00:00,2017-01-27T12:15:00
4,31425,DSB 106,T,2017-01-31T11:00:00,2017-01-31T12:15:00
5,31425,DSB 106,F,2017-02-03T11:00:00,2017-02-03T12:15:00
6,31425,DSB 106,T,2017-02-07T11:00:00,2017-02-07T12:15:00
7,31425,DSB 106,F,2017-02-10T11:00:00,2017-02-10T12:15:00
8,31425,DSB 106,T,2017-02-14T11:00:00,2017-02-14T12:15:00
9,31425,DSB 106,F,2017-02-17T11:00:00,2017-02-17T12:15:00
10,31425,DSB 106,F,2017-02-24T11:00:00,2017-02-24T12:15:00
11,31425,DSB 106,T,2017-02-28T11:00:00,2017-02-28T12:15:00
12,31425,DSB 106,F,2017-03-03T11:00:00,2017-03-03T12:15:00
13,31425,DSB 106,T,2017-03-07T11:00:00,2017-03-07T12:15:00
14,31425,DSB 106,F,2017-03-10T11:00:00,2017-03-10T12:15:00
15,31425,DSB 106,T,2017-03-21T11:00:00,2017-03-21T12:15:00
16,31425,DSB 106,F,2017-03-24T11:00:00,2017-03-24T12:15:00
17,31425,DSB 106,T,2017-03-28T11:00:00,2017-03-28T12:15:00
18,31425,DSB 106,F,2017-03-31T11:00:00,2017-03-31T12:15:00
19,31425,DSB 106,T,2017-04-04T11:00:00,2017-04-04T12:15:00
20,31425,DSB 106,F,2017-04-07T11:00:00,2017-04-07T12:15:00
21,31425,DSB 106,T,2017-04-11T11:00:00,2017-04-11T12:15:00
22,31425,DSB 106,T,2017-04-18T11:00:00,2017-04-18T12:15:00
23,31425,DSB 106,F,2017-04-21T11:00:00,2017-04-21T12:15:00
24,31425,DSB 106,T,2017-04-25T11:00:00,2017-04-25T12:15:00
25,31425,DSB 106,F,2017-04-28T11:00:00,2017-04-28T12:15:00
26,31425,DSB 106,T,2017-05-02T11:00:00,2017-05-02T12:15:00
27,31954,DSB 106,T,2017-01-17T12:30:00,2017-01-17T13:45:00
28,31954,DSB 106,F,2017-01-20T12:30:00,2017-01-20T13:45:00
29,31954,DSB 106,T,2017-01-24T12:30:00,2017-01-24T13:45:00
30,31954,DSB 106,F,2017-01-27T12:30:00,2017-01-27T13:45:00
31,31954,DSB 106,T,2017-01-31T12:30:00,2017-01-31T13:45:00
32,31954,DSB 106,F,2017-02-03T12:30:00,2017-02-03T13:45:00
33,31954,DSB 106,T,2017-02-07T12:30:00,2017-02-07T13:45:00
34,31954,DSB 106,F,2017-02-10T12:30:00,2017-02-10T13:45:00
35,31954,DSB 106,T,2017-02-14T12:30:00,2017-02-14T13:45:00
36,31954,DSB 106,F,2017-02-17T12:30:00,2017-02-17T13:45:00
37,31954,DSB 106,F,2017-02-24T12:30:00,2017-02-24T13:45:00
38,31954,DSB 106,T,2017-02-28T12:30:00,2017-02-28T13:45:00
39,31954,DSB 106,F,2017-03-03T12:30:00,2017-03-03T13:45:00
40,31954,DSB 106,T,2017-03-07T12:30:00,2017-03-07T13:45:00
41,31954,DSB 106,F,2017-03-10T12:30:00,2017-03-10T13:45:00
42,31954,DSB 106,T,2017-03-21T12:30:00,2017-03-21T13:45:00
43,31954,DSB 106,F,2017-03-24T12:30:00,2017-03-24T13:45:00
44,31954,DSB 106,T,2017-03-28T12:30:00,2017-03-28T13:45:00
45,31954,DSB 106,F,2017-03-31T12:30:00,2017-03-31T13:45:00
46,31954,DSB 106,T,2017-04-04T12:30:00,2017-04-04T13:45:00
47,31954,DSB 106,F,2017-04-07T12:30:00,2017-04-07T13:45:00
48,31954,DSB 106,T,2017-04-11T12:30:00,2017-04-11T13:45:00
49,31954,DSB 106,T,2017-04-18T12:30:00,2017-04-18T13:45:00
50,31954,DSB 106,F,2017-04-21T12:30:00,2017-04-21T13:45:00
51,31954,DSB 106,T,2017-04-25T12:30:00,2017-04-25T13:45:00
52,31954,DSB 106,F,2017-04-28T12:30:00,2017-04-28T13:45:00
53,31954,DSB 106,T,2017-05-02T12:30:00,2017-05-02T13:45:00
54,31092,DSB 108,R,2017-01-19T11:00:00,2017-01-19T12:15:00
