,crn,location,day,start,end
0,57138,DSB 112,M,2017-05-22T18:00:00,2017-05-22T21:30:00
1,57138,DSB 112,W,2017-05-24T18:00:00,2017-05-24T21:30:00
2,57138,DSB 112,W,2017-05-31T18:00:00,2017-05-31T21:30:00
3,57138,DSB 112,M,2017-06-05T18:00:00,2017-06-05T21:30:00
4,57138,DSB 112,W,2017-06-07T18:00:00,2017-06-07T21:30:00
5,57138,DSB 112,M,2017-06-12T18:00:00,2017-06-12T21:30:00
6,57138,DSB 112,W,2017-06-14T18:00:00,2017-06-14T21:30:00
7,57138,DSB 112,M,2017-06-19T18:00:00,2017-06-19T21:30:00
8,57138,DSB 112,W,2017-06-21T18:00:00,2017-06-21T21:30:00
9,57138,DSB 112,M,2017-06-26T18:00:00,2017-06-26T21:30:00
10,57138,DSB 112,W,2017-06-28T18:00:00,2017-06-28T21:30:00
11,57138,DSB 112,M,2017-05-22T18:00:00,2017-05-22T21:30:00
12,57138,DSB 112,W,2017-05-24T18:00:00,2017-05-24T21:30:00
13,57138,DSB 112,W,2017-05-31T18:00:00,2017-05-31T21:30:00
14,57138,DSB 112,M,2017-06-05T18:00:00,2017-06-05T21:30:00
15,57138,DSB 112,W,2017-06-07T18:00:00,2017-06-07T21:30:00
16,57138,DSB 112,M,2017-06-12T18:00:00,2017-06-12T21:30:00
17,57138,DSB 112,W,2017-06-14T18:00:00,2017-06-14T21:30:00
18,57138,DSB 112,M,2017-06-19T18:00:00,2017-06-19T21:30:00
19,57138,DSB 112,W,2017-06-21T18:00:00,2017-06-21T21:30:00
20,57138,DSB 112,M,2017-06-26T18:00:00,2017-06-26T21:30:00
21,57138,DSB 112,W,2017-06-28T18:00:00,2017-06-28T21:30:00
22,57138,DSB 112,R,2017-06-01T18:00:00,2017-06-01T21:30:00
23,57139,DSB 112,M,2017-07-10T18:00:00,2017-07-10T21:30:00
24,57139,DSB 112,W,2017-07-12T18:00:00,2017-07-12T21:30:00
25,57139,DSB 112,M,2017-07-17T18:00:00,2017-07-17T21:30:00
26,57139,DSB 112,W,2017-07-19T18:00:00,2017-07-19T21:30:00
27,57139,DSB 112,M,2017-07-24T18:00:00,2017-07-24T21:30:00
28,57139,DSB 112,W,2017-07-26T18:00:00,2017-07-26T21:30:00
29,57139,DSB 112,M,2017-07-31T18:00:00,2017-07-31T21:30:00
30,57139,DSB 112,W,2017-08-02T18:00:00,2017-08-02T21:30:00
31,57139,DSB 112,M,2017-08-07T18:00:00,2017-08-07T21:30:00
32,57139,DSB 112,W,2017-08-09T18:00:00,2017-08-09T21:30:00
33,57139,DSB 112,M,2017-08-14T18:00:00,2017-08-14T21:30:00
34,57332,DSB 115,M,2017-05-22T18:00:00,2017-05-22T21:30:00
35,57332,DSB 115,W,2017-05-24T18:00:00,2017-05-24T21:30:00
36,57332,DSB 115,W,2017-05-31T18:00:00,2017-05-31T21:30:00
37,57332,DSB 115,M,2017-06-05T18:00:00,2017-06-05T21:30:00
38,57332,DSB 115,W,2017-06-07T18:00:00,2017-06-07T21:30:00
39,57332,DSB 115,M,2017-06-12T18:00:00,2017-06-12T21:30:00
40,57332,DSB 115,W,2017-06-14T18:00:00,2017-06-14T21:30:00
41,57332,DSB 115,M,2017-06-19T18:00:00,2017-06-19T21:30:00
42,57332,DSB 115,M,2017-05-22T08:30:00,2017-05-22T16:30:00
43,57332,DSB 115,W,2017-05-24T08:30:00,2017-05-24T16:30:00
44,57332,DSB 115,W,2017-05-31T08:30:00,2017-05-31T16:30:00
45,57332,DSB 115,M,2017-06-05T08:30:00,2017-06-05T16:30:00
46,57332,DSB 115,W,2017-06-07T08:30:00,2017-06-07T16:30:00
47,57332,DSB 115,M,2017-06-12T08:30:00,2017-06-12T16:30:00
48,57332,DSB 115,W,2017-06-14T08:30:00,2017-06-14T16:30:00
49,57332,DSB 115,M,2017-06-19T08:30:00,2017-06-19T16:30:00
50,57332,DSB 115,S,2017-06-10T08:30:00,2017-06-10T16:30:00
51,57332,DSB 115,S,2017-06-17T08:30:00,2017-06-17T16:30:00
52,57155,DSB 108,M,2017-05-22T18:00:00,2017-05-22T21:30:00
53,57155,DSB 108,M,2017-06-05T18:00:00,2017-06-05T21:30:00
54,57155,DSB 108,M,2017-06-12T18:00:00,2017-06-12T21:30:00
55,57155,DSB 108,M,2017-06-19T18:00:00,2017-06-19T21:30:00
56,57155,DSB 110A,M,2017-05-22T18:00:00,2017-05-22T21:30:00
57,57155,DSB 110A,M,2017-06-05T18:00:00,2017-06-05T21:30:00
58,57155,DSB 110A,M,2017-06-12T18:00:00,2017-06-12T21:30:00
59,57155,DSB 110A,M,2017-06-19T18:00:00,2017-06-19T21:30:00
60,57155,DSB 110A,R,2017-05-25T18:00:00,2017-05-25T21:30:00
61,57155,DSB 108,M,2017-05-22T18:00:00,2017-05-22T21:30:00
62,57155,DSB 108,M,2017-06-05T18:00:00,2017-06-05T21:30:00
63,57155,DSB 108,M,2017-06-12T18:00:00,2017-06-12T21:30:00
64,57155,DSB 108,M,2017-06-19T18:00:00,2017-06-19T21:30:00
65,57155,DSB 108,R,2017-05-25T18:00:00,2017-05-25T21:30:00
66,57155,DSB 108,T,2017-05-30T18:00:00,2017-05-30T21:30:00
67,57155,DSB 110A,M,2017-05-22T09:00:00,2017-05-22T12:30:00
68,57155,DSB 110A,M,2017-06-05T09:00:00,2017-06-05T12:30:00
69,57155,DSB 110A,M,2017-06-12T09:00:00,2017-06-12T12:30:00
70,57155,DSB 110A,M,2017-06-19T09:00:00,2017-06-19T12:30:00
71,57155,DSB 110A,R,2017-05-25T09:00:00,2017-05-25T12:30:00
72,57155,DSB 110A,T,2017-05-30T09:00:00,2017-05-30T12:30:00
73,57155,DSB 110A,S,2017-06-03T09:00:00,2017-06-03T12:30:00
74,57155,DSB 110A,S,2017-06-10T09:00:00,2017-06-10T12:30:00
75,57155,DSB 110A,S,2017-06-17T09:00:00,2017-06-17T12:30:00
76,57155,DSB 110A,S,2017-06-24T09:00:00,2017-06-24T12:30:00
77,57155,DSB 110A,M,2017-05-22T13:00:00,2017-05-22T16:30:00
78,57155,DSB 110A,M,2017-06-05T13:00:00,2017-06-05T16:30:00
79,57155,DSB 110A,M,2017-06-12T13:00:00,2017-06-12T16:30:00
80,57155,DSB 110A,M,2017-06-19T13:00:00,2017-06-19T16:30:00
81,57155,DSB 110A,R,2017-05-25T13:00:00,2017-05-25T16:30:00
82,57155,DSB 110A,T,2017-05-30T13:00:00,2017-05-30T16:30:00
83,57155,DSB 110A,S,2017-06-03T13:00:00,2017-06-03T16:30:00
84,57155,DSB 110A,S,2017-06-10T13:00:00,2017-06-10T16:30:00
85,57155,DSB 110A,S,2017-06-17T13:00:00,2017-06-17T16:30:00
86,57155,DSB 110A,S,2017-06-24T13:00:00,2017-06-24T16:30:00
87,57155,DSB 110A,S,2017-06-03T13:00:00,2017-06-03T16:30:00
88,57155,DSB 110A,S,2017-06-10T13:00:00,2017-06-10T16:30:00
89,57156,DSB 104,T,2017-05-23T18:00:00,2017-05-23T21:30:00
90,57156,DSB 110A,T,2017-05-23T18:00:00,2017-05-23T21:30:00
91,57156,DSB 110A,R,2017-05-25T18:00:00,2017-05-25T21:30:00
92,57156,DSB 104,T,2017-05-23T18:00:00,2017-05-23T21:30:00
93,57156,DSB 104,R,2017-05-25T18:00:00,2017-05-25T21:30:00
94,57156,DSB 104,W,2017-05-31T18:00:00,2017-05-31T21:30:00
95,57156,DSB 104,W,2017-06-07T18:00:00,2017-06-07T21:30:00
96,57156,DSB 104,W,2017-06-14T18:00:00,2017-06-14T21:30:00
97,57156,DSB 110A,T,2017-05-23T09:00:00,2017-05-23T12:30:00
98,57156,DSB 110A,R,2017-05-25T09:00:00,2017-05-25T12:30:00
99,57156,DSB 110A,W,2017-05-31T09:00:00,2017-05-31T12:30:00
100,57156,DSB 110A,W,2017-06-07T09:00:00,2017-06-07T12:30:00
101,57156,DSB 110A,W,2017-06-14T09:00:00,2017-06-14T12:30:00
102,57156,DSB 110A,S,2017-06-03T09:00:00,2017-06-03T12:30:00
103,57156,DSB 110A,S,2017-06-10T09:00:00,2017-06-10T12:30:00
104,57156,DSB 110A,S,2017-06-17T09:00:00,2017-06-17T12:30:00
105,57156,DSB 110A,S,2017-06-24T09:00:00,2017-06-24T12:30:00
106,57156,DSB 110A,T,2017-05-23T13:00:00,2017-05-23T16:30:00
107,57156,DSB 110A,R,2017-05-25T13:00:00,2017-05-25T16:30:00
108,57156,DSB 110A,W,2017-05-31T13:00:00,2017-05-31T16:30:00
109,57156,DSB 110A,W,2017-06-07T13:00:00,2017-06-07T16:30:00
110,57156,DSB 110A,W,2017-06-14T13:00:00,2017-06-14T16:30:00
111,57156,DSB 110A,S,2017-06-03T13:00:00,2017-06-03T16:30:00
112,57156,DSB 110A,S,2017-06-10T13:00:00,2017-06-10T16:30:00
113,57156,DSB 110A,S,2017-06-17T13:00:00,2017-06-17T16:30:00
114,57156,DSB 110A,S,2017-06-24T13:00:00,2017-06-24T16:30:00
115,57156,DSB 110A,S,2017-06-03T13:00:00,2017-06-03T16:30:00
116,57156,DSB 110A,S,2017-06-10T13:00:00,2017-06-10T16:30:00
117,57127,DSB 112,M,2017-05-22T08:00:00,2017-05-22T10:30:00
118,57127,DSB 112,W,2017-05-24T08:00:00,2017-05-24T10:30:00
119,57127,DSB 112,F,2017-05-26T08:00:00,2017-05-26T10:30:00
120,57127,DSB 112,W,2017-05-31T08:00:00,2017-05-31T10:30:00
121,57127,DSB 112,F,2017-06-02T08:00:00,2017-06-02T10:30:00
122,57127,DSB 112,M,2017-06-05T08:00:00,2017-06-05T10:30:00
123,57127,DSB 112,W,2017-06-07T08:00:00,2017-06-07T10:30:00
124,57127,DSB 112,F,2017-06-09T08:00:00,2017-06-09T10:30:00
125,57127,DSB 112,M,2017-06-12T08:00:00,2017-06-12T10:30:00
126,57127,DSB 112,W,2017-06-14T08:00:00,2017-06-14T10:30:00
127,57127,DSB 112,F,2017-06-16T08:00:00,2017-06-16T10:30:00
128,57127,DSB 112,M,2017-06-19T08:00:00,2017-06-19T10:30:00
129,57127,DSB 112,W,2017-06-21T08:00:00,2017-06-21T10:30:00
130,57127,DSB 112,F,2017-06-23T08:00:00,2017-06-23T10:30:00
131,57127,DSB 112,M,2017-06-26T08:00:00,2017-06-26T10:30:00
